[2011-09-06 19:23:16] weechat 0.3.4 (compiled on Jan 27 2011 15:23:25)
[2011-09-06 19:23:16] Reading configuration file weechat.conf
[2011-09-06 19:23:16] Reading configuration file plugins.conf
[2011-09-06 19:23:16] Reading configuration file xfer.conf
[2011-09-06 19:23:16] Reading configuration file rmodifier.conf
[2011-09-06 19:23:17] Reading configuration file logger.conf
[2011-09-06 19:23:17] Reading configuration file irc.conf
[2011-09-06 19:23:17] Reading configuration file relay.conf
[2011-09-06 19:23:17] Reading configuration file alias.conf
[2011-09-06 19:23:17] Reading configuration file aspell.conf
[2011-09-06 19:23:17] Reading configuration file charset.conf
[2011-09-06 19:23:22] irc: connecting to server irc.rizon.net/6667...
[2011-09-08 19:34:14] irc: connecting to server irc.irchighway.net/6667...
[2011-09-09 13:36:56] irc: connecting to server irc.irchighway.net/6667...
[2011-09-09 13:37:33] irc: connecting to server irc.rizon.net/6667...
[2011-09-09 13:37:56] irc: connecting to server irc.irchighway.net/6667...
[2011-09-09 13:38:33] irc: connecting to server irc.rizon.net/6667...
[2011-09-09 13:39:16] irc: connecting to server irc.irchighway.net/6667...
[2011-09-09 13:39:53] irc: connecting to server irc.rizon.net/6667...
[2011-09-09 13:41:16] irc: connecting to server irc.irchighway.net/6667...
[2011-09-09 13:41:53] irc: connecting to server irc.rizon.net/6667...
[2011-09-09 13:44:36] irc: connecting to server irc.irchighway.net/6667...
[2011-09-09 13:45:13] irc: connecting to server irc.rizon.net/6667...
[2011-09-09 13:50:36] irc: connecting to server irc.irchighway.net/6667...
[2011-09-09 13:51:13] irc: connecting to server irc.rizon.net/6667...
[2011-09-09 14:01:56] irc: connecting to server irc.irchighway.net/6667...
[2011-09-09 14:02:33] irc: connecting to server irc.rizon.net/6667...
[2011-09-09 14:23:56] irc: connecting to server irc.irchighway.net/6667...
[2011-09-09 14:24:33] irc: connecting to server irc.rizon.net/6667...
[2011-09-09 14:54:36] irc: connecting to server irc.irchighway.net/6667...
[2011-09-09 14:55:13] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 06:16:16] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 06:23:34] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 06:24:01] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 06:24:34] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 06:25:01] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 06:25:54] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 06:26:21] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 06:27:54] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 06:28:21] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 06:31:14] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 06:31:41] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 06:37:14] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 06:37:41] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 06:48:34] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 06:49:01] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 07:10:34] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 07:11:01] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 07:41:14] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 07:41:41] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 08:11:54] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 08:12:21] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 08:42:34] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 08:43:01] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 09:13:14] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 09:13:41] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 09:43:54] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 09:44:21] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 10:14:34] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 10:15:01] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 10:45:14] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 10:45:41] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 13:33:49] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 13:34:01] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 13:34:49] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 13:35:01] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 13:36:09] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 13:36:21] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 13:38:09] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 13:38:21] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 13:41:29] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 13:41:41] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 13:47:29] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 13:47:41] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 13:58:49] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 13:59:01] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 14:20:49] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 14:21:01] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 14:51:29] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 14:51:41] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 15:22:09] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 15:22:21] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 15:52:49] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 15:53:01] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 16:23:29] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 16:23:41] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 21:17:48] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 21:18:48] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 21:20:08] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 21:20:26] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 21:21:26] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 21:22:08] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 21:22:46] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 21:24:46] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 21:25:28] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 21:28:06] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 21:31:28] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 21:34:06] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 21:42:48] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 21:45:26] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 22:04:48] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 22:07:26] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 22:35:28] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 22:38:06] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 23:06:08] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 23:14:35] irc: connecting to server irc.rizon.net/6667...
[2011-09-12 23:39:17] irc: connecting to server irc.irchighway.net/6667...
[2011-09-12 23:54:05] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 00:12:26] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 00:30:23] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 00:45:35] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 01:09:52] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 01:18:44] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 01:46:11] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 01:51:53] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 02:22:31] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 02:25:02] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 02:58:11] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 02:58:51] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 03:31:20] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 03:38:21] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 04:04:29] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 07:12:53] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 07:13:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 07:13:53] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 07:14:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 07:15:13] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 07:15:44] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 07:17:13] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 07:17:44] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 07:20:33] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 07:21:04] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 07:26:33] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 07:27:04] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 07:37:53] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 07:38:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 07:59:53] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 08:00:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 08:30:33] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 08:31:04] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 09:01:13] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 09:01:44] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 09:31:53] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 09:32:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 10:05:33] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 10:11:21] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 10:38:42] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 10:50:49] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 11:09:22] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 11:21:29] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 11:40:02] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 11:52:09] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 12:10:42] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 12:22:49] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 12:41:22] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 12:53:29] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 13:12:02] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 13:24:09] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 13:45:11] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 14:03:39] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 14:18:20] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 14:39:59] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 14:51:29] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 15:13:10] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 15:24:38] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 15:46:21] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 15:57:47] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 16:40:43] irc: connecting to server irc.rizon.net/6667...
[2011-09-13 16:41:00] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 16:41:22] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 16:42:06] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 20:32:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-13 20:33:19] irc: connecting to server irc.rizon.net/6667...
